Artist,Title,Mood
Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,angry
Emerson Hart,If You're Gonna Leave,sad
Megadeth,Architecture of Aggression,angry
Blondie,Heart of Glass,happy
The Clientele,Impossible,relaxed
The Tallest Man on Earth,Love Is All,sad
Garbage,Silence Is Golden,angry
Van Morrison,And It Stoned Me,relaxed
The Proclaimers,I'm On My Way,happy
50 Cent,My Gun Go Off,angry
Collie Buddz,Mamacita,happy
Avenged Sevenfold,Coming Home,angry
Avril Lavigne,How Does It Feel,sad
The Streets,Never Went to Church,sad
Geto Boys,Chuckie,angry
David Sylvian,September,relaxed
Demon Hunter,The Tide Began To Rise,sad
Lily Holbrook,Better Left Unsaid,sad
Creed,Illusion,angry
Egotrippi,Matkustaja,sad
The Whitest Boy Alive,Don't Give Up,relaxed
Opeth,By the Pain I See in Others,sad
Salt The Wound,Better Than This,angry
Iron Maiden,Aces High,angry
Norah Jones,The Prettiest Thing,relaxed
Lamb,Written,relaxed
Nickleback,Rockstar,angry
Mastodon,Megalodon,angry
Natalie Walker,No One Else,relaxed
Stephen Lynch,Country Love Song,happy
Stereophonics,Bright Red Star,sad
Bad Manners,Can Can,happy
Hollywood Undead,Young,angry
Hooverphonic,The Magnificent Tree,relaxed
Working for a Nuclear Free City,Quiet Place,relaxed
Bruce Springsteen,Atlantic City,sad
Alison Moyet,Invisible,sad
Eminem,We Made You,happy
Polly Scattergood,I Hate The Way,sad
Ulrich Schnauss,Wherever You Are,relaxed
Tom Lehrer,We Will All Go Together When We Go,happy
Helena Bonham Carter & Johnny Depp,Poor Thing,sad
Megadeth,The World Needs a Hero,angry
Morrissey,Life Is A Pigsty,sad
Muse,Agitated,angry
Fourplay,Fields Of Gold,relaxed
Rascal Flatts,Summer Nights,happy
José Padilla,Adios Ayer,relaxed
Emiliana Torrini,Jungle Drums,happy
Dr. Dog,The Breeze,relaxed
Girls In Hawaii,Bees & butterflies,relaxed
Cradle of Filth,Dirge Inferno,angry
Foals,Big Big Love (Fig. 2),relaxed
Metallica,Welcome Home (Sanitarium),sad
Imogen Heap,Little Bird,relaxed
The Flying Burrito Brothers,Do You Know How It Feels,sad
Grizzly Bear,Easier,relaxed
Eric Church,Sinners Like Me,relaxed
Bachman-Turner Overdrive,Roll On Down The Highway,happy
ZZ Top,Gimme All Your Lovin',happy
System of a Down,War?,angry
Nachtmahr,Feuer Frei!,angry
Stacey Kent,Bali Ha'i,relaxed
Taylor Swift,You Belong With Me,happy
The World/Inferno Friendship Society,Only Anarchists Are Pretty,happy
Tiger Lou,Like my very own blood,sad
Slayer,Spiritual Law,angry
COLD,Stupid Girl,angry
Grand Archives,Torn Blue Foam Couch,relaxed
Ania,Turu Tu Tu...,sad
Reel Big Fish,"New York, New York",happy
Loverboy,Hot Girls In Love,happy
Judas Priest,Bullet Train,angry
The Foreshadowing,The Wandering,sad
Erik Hassle,Hurtful,sad
Good Charlotte,Girls & Boys,happy
Riverside,Before,sad
Saybia,The One For You,sad
The Jam,Bricks And Mortar,angry
Symphony X,The Divine Wings Of Tragedy,sad
Nirvana,Scentless Apprentice,angry
Deborah Harry,End Of The Run,sad
Shania Twain,Man! I Feel Like A Woman!,happy
Björn Rosenström,Mamma,happy
The Ataris,The Boys Of Summer,happy
Angie Stone,U-Haul,relaxed
The Pipettes,Dirty Mind,happy
Katie Melua,If The Lights Go Out,relaxed
Steve Goodman,My Old Man,sad
Atari Teenage Riot,Deutschland (Has Gotta Die!),angry
U2,Sunday Bloody Sunday,angry
Longing for Dawn,Lethal,sad
Metallica,Metal Militia,angry
Queen,Crazy Little Thing Called Love,happy
Talking Heads,Psycho Killer,angry
Matt Costa,Lilacs,relaxed
Reel 2 Real,I Like to Move It,happy
Diana Krall,You're My Thrill,relaxed
Kanye West,We Don't Care,happy
Rocky Votolato,Tennessee Train Tracks,relaxed
Darren Hayes,A Conversation With God,sad
Okkervil River,"So Come Back, I Am Waiting",sad
Bloodhound Gang,The Bad Touch,happy
Mudvayne,Dig,angry
Megadeth,Recipe for Hate...Warhorse,angry
Peter Sellers,Unchained Melody,happy
The Replacements,Can't Hardly Wait,sad
The Rolling Stones,Coming Down Again,sad
Móveis Coloniais de Acaju,Swing hum e meio,happy
Dream Theater,The Enemy Inside,angry
Dave Matthews Band,Old Dirt Hill (Bring That Beat Back),relaxed
Maggie Reilly,All My Heart Can Hold,sad
Xavier Rudd,Better People,relaxed
George Jones,He Stopped Loving Her Today,sad
Café Tacuba,Las Flores,happy
Jack Johnson,"They Do, They Don't",relaxed
Pearl Jam,Crazy Mary,sad
Billie Holiday,Lady Sings The Blues,sad
The Saturdays,Fall,sad
Etta James,My Dearest Darling,happy
Guided by Voices,Don't Stop Now,sad
The Adicts,Chinese Takeaway,happy
João Gilberto,Chega De Saudade,relaxed
DJ Sammy,The Boys Of Summer,happy
Stephen Lynch,For The Ladies,happy
Howard Jones,Things Can Only Get Better,happy
New Order,Crystal,happy
DMX,We in Here,angry
Jaromír Nohavica,Ještě mi scházíš,sad
Maria Taylor,Two Of Those Too (Album Version),relaxed
Atlas Sound,River Card,relaxed
Tiger Lou,The Wake/Hooray Hooray,relaxed
Donald Byrd,Think Twice,relaxed
of Montreal,Touched Something's Hollow,sad
Charlotte Church,Show A Little Faith,relaxed
Bob Dylan,One Of Us Must Know (Sooner Or Later),sad
Mickey & Sylvia,Love Is Strange,happy
Sarah Blasko,The Woman By The Well,relaxed
Lily Allen,Not Fair,happy
Sade,Cherish The Day,relaxed
Tanya Stephens,It's A Pity,happy
Black Sabbath,Sabbath Bloody Sabbath,angry
AC/DC,Flick of the Switch,angry
Violent Femmes,It's Gonna Rain,happy
Sepultura,Territory,angry
Conway Twitty,That's My Job,sad
Black Flag,Police Story,angry
Nine Inch Nails,Every Day Is Exactly The Same,sad
Daniel Lanois,Sometimes,relaxed
The Supremes,Love Is Like An Itching In My Heart,happy
Babyshambles,Killamangiro,happy
Stabbing Westward,Drowning,sad
City and Colour,Save Your Scissors,relaxed
Anthrax,Among the Living,angry
Slayer,War Zone,angry
Cassandra Wilson,If Loving You Is Wrong,relaxed
As I Lay Dying,An Ocean Between Us,angry
Avenged Sevenfold,Nightmare,angry
ElectroVamp,I Don't Like The Vibe In The VIP,happy
Alice in Chains,Sludge Factory,sad
Megadeth,Psychotron,angry
Shakira,Un Poco De Amor,happy
Nick Cave and the Bad Seeds,Oh My Lord,sad
Natalie Merchant,Just Can't Last,relaxed
The Mountain Goats,No Children,sad
Britney Spears,If U Seek Amy,happy
O-Zone,Dragostea Din Tei,happy
Ozzy Osbourne,Suicide Solution,angry
Sheb Wooley,The Purple People Eater,happy
Enzo Jannacci,Ho Visto Un Re,happy
Megadeth,Dread and the Fugitive Mind,angry
Jack Johnson,Hope,relaxed
Jane Monheit,More Than You Know,relaxed
Rage Against the Machine,How I Could Just Kill A Man,angry
Jimi Hendrix Experience,Fire,angry
Marilyn Monroe,I Wanna Be Loved By You,happy
Burial,Distant Lights,sad
Lykke Li,Sadness Is a Blessing,sad
Carrie Underwood,I Told You So,sad
Scissor Sisters,Lights,happy
Lenny Kravitz,Will You Marry Me,happy
Queensryche,The Needle Lies,angry
My Dying Bride,The Cry of Mankind,sad
Miley Cyrus,7 Things,happy
Juana Molina,Vaca que cambia de querencia,relaxed
K's Choice,If You're Not Scared,sad
Mylo,Sunworshipper,relaxed
Jamie Cullum,Singin' In The Rain,relaxed
Wire,I Am the Fly,angry
Ricky Martin,Livin' La Vida Loca,happy
Soundgarden,Limo Wreck,sad
Sopor Aeternus & The Ensemble Of Shadows,Bitter Sweet,sad
Blue Öyster Cult,Nosferatu,angry
Five Iron Frenzy,My Evil Plan To Save The World,happy
Violent Femmes,I Know It's True but I'm Sorry to Say,sad
Tenacious D,Kielbasa,happy
Saosin,Sleepers,angry
Anthrax,Potters Field,angry
Aimee Mann,Little Bombs,sad
Chevelle,The Red,angry
Jason Collett,Blue Sky,relaxed
LCD Soundsystem,All My Friends (John Cale's Version),sad
Sandy Denny,Bushes And Briars,sad
Marcy Playground,Punk Rock Superstar,happy
Emilie Simon,Le Vieil Amant,relaxed
Pink Turns Blue,Your Master Is Calling,sad
IVY,Clear My Head,relaxed
Tom Petty And The Heartbreakers,American Girl,happy
Etta James,A Sunday Kind Of Love,relaxed
Mud,Lonely This Christmas,sad
Queens Of The Stone Age,Everybody Knows That You Are Insane,angry
The Gathering,These Good People,sad
The Fratellis,Cuntry Boys & City Girls,happy
Molotov,Puto,happy
Victoria Beckham,I Wish,happy
Ours,Dizzy,sad
The Blackbyrds,Walking In Rhythm,happy
Tori Amos,Velvet Revolution,sad
Doors,Break on Through (To the Other Side),angry
Megadeth,FFF,angry
Camper Van Beethoven,Good Guys & Bad Guys,happy
Slayer,Spirit in Black,angry
theaudience,Keep In Touch,relaxed
Belle and Sebastian,Roy Walker,happy
Lamb of God,As the Palaces Burn,angry
New York Dolls,Personality Crisis,angry
Suicide Silence,Unanswered,angry
The Dodos,It's That Time Again,sad
Cream,We're Going Wrong,sad
IVY,Edge of the Ocean,relaxed
The Stooges,Your Pretty Face Is Going to Hell,angry
Eagle-Eye Cherry,Worried Eyes,relaxed
Bic Runga,It's Over,sad
Amber Pacific,Poetically Pathetic (Acoustic),sad
Goldfrapp,Lovely 2 C U,happy
"""Weird Al"" Yankovic",The Night Santa Went Crazy,happy
His Name Is Alive,Are We Still Married?,sad
Tarkan,Simarik,happy
Juanes,Nada Valgo Sin Tu Amor,happy
Lupe Fiasco,"Kick, Push",relaxed
Kaiser Chiefs,Thank You Very Much,happy
Throwing Muses,Counting Backwards,angry
Meshuggah,Future Breed Machine,angry
Young Jeezy,I Luv It,angry
Three Days Grace,Burn,angry
Public Enemy,Bring the Noise,angry
Maria Mena,Monday Morning,relaxed
Ice Cube,The Wrong Nigga to Fuck Wit,angry
Alice in Chains,Am I Inside,sad
Monkey,Sandy the River Demon,relaxed
Ray Parker Jr.,Ghostbusters,happy
Children of Bodom,Hate Me!,angry
Detonautas Roque Clube,Olhos Certos,sad
Pixies,Gigantic,happy
Katatonia,Day,sad
Destroyer,Painter in Your Pocket,relaxed
De-Phazz,Belle de Jour,relaxed
Dolores Keane,Never Be the Sun,relaxed
Method Man,Bring the Pain,angry
Lucinda Williams,Those Three Days,sad
Megadeth,Moto Psycho,angry
Delays,Touch Down,relaxed
Scissor Sisters,Laura,happy
Ida Maria,I Like You So Much Better When You're Naked,happy
Cinema Bizarre,Lovesongs (They Kill Me),sad
Lene Marlin,Leave My Mind,relaxed
Sara Gazarek,You Got By,relaxed
The Black Crowes,Walk Believer Walk,happy
Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin),happy
British Sea Power,The Lonely,sad
Chicane,Autumn Tactics,relaxed
The Sisters Of Mercy,Under the Gun,sad
Audio Bullys,Get Myself on Track,sad
Porcupine Tree,The Sleep of No Dreaming,sad
Jill Cunniff,Lazy Girls,happy
Clannad,Newgrange,relaxed
Franz Ferdinand,Jackie Jackson,happy
Combichrist,The Corps Under My Bed,sad
Richard Marx,Should've Known Better,sad
The Cure,Want,sad
The Lonely Island,I'm on a Boat (feat. T-Pain),happy
Common,Faithful ,relaxed
The Jacksons,This Place Hotel,sad
Opeth,Dirge for November,sad
Little River Band,It's A Long Way There,relaxed
Rufus Wainwright,11.11,relaxed
Britney Spears,Break The Ice,happy
Electric Light Orchestra,Midnight Blue,relaxed
The Housemartins,We're Not Deep,happy
Haley Bonar,Blue Ridge Mountains,relaxed
Lene Marlin,Disguise,relaxed
Faithless,One Step Too Far,relaxed
Ayreon,Day One: Vigil,sad
Rainbow,Catch The Rainbow,sad
Lucinda Williams,Greenville,sad
Heather Nova,Heart And Shoulder,relaxed
Krokus,Long Stick Goes Boom,angry
Cake,"Mahna, Mahna",happy
She & Him,Sweet Darlin',happy
Rage Against the Machine,Vietnow,angry
Powerman 5000,Action,angry
The New Pornographers,All For Swinging You Around,happy
Rage Against the Machine,Sleep Now In The Fire,angry
Beatallica,And I'm Evil,happy
Korn,Chi,angry
Brooks & Dunn,Neon Moon,sad
Keri Noble,A Dream About You,relaxed
Aqua,Around The World,happy
My Morning Jacket,Evil Urges,happy
My Bloody Valentine,Nothing Much to Lose,sad
Rage Against the Machine,Wake Up,angry
System of a Down,Chop Suey!,angry
Antimatter,The Freak Show,sad
ERA,Omen Sore,relaxed
Brad Paisley,When I Get Where I'm Going,sad
Megadeth,Victory,angry
Tindersticks,The Not Knowing,sad
Queen,My Baby Does Me,happy
Tim Buckley,Morning Glory,sad
The Gathering,Black Light District,sad
The Rolling Stones,Can You Hear The Music,sad
Little River Band,Reminiscing,relaxed
Alien Sex Fiend,Dead and Buried,angry
Voxtrot,Sway,sad
Foy Vance,Homebird,relaxed
COLD,Rain Song,sad
Bananarama,Cruel Summer,happy
Nick Cave and the Bad Seeds,Still in Love,sad
Jennifer Lopez,Papi,happy
Sally Shapiro,Anorak Christmas,relaxed
Busted,Fun Fun Fun,happy
Slayer,Sex. Murder. Art.,angry
Bullet For My Valentine,4 Words (To Choke Upon),angry
José González,Lovestain,relaxed
Corinne Bailey Rae,I Would Like To Call It Beauty,relaxed
Espers,Meadow,relaxed
The Clash,London Calling,angry
Motörhead,Orgasmatron,angry
Norah Jones,Back To Manhattan,sad
Molly Johnson,If You Know Love,relaxed
The Tear Garden,Ophelia,sad
Hole,Letter To God,sad
Megadeth,Washington Is Next!,angry
Enya,Flora's Secret,relaxed
Soft Cell,Sex Dwarf,happy
Dusty Springfield,I Only Want To Be With You,happy
Enigma,Mea Culpa,relaxed
Mae,Sun (acoustic),relaxed
Louis Armstrong,I Still Get Jealous,relaxed
Jump5,Beauty And The Beast,happy
Espers,Flowery Noontide,relaxed
The Black Keys,Your Touch,happy
U2,Elvis Presley and America,sad
Dixie Chicks,Without You,sad
Scissor Sisters,Take Your Mama,happy
Noir Désir,7 Minutes,angry
Radiohead,Fitter Happier,sad
Bruce Hornsby,Fields Of Gray,relaxed
Counting Crows,St. Robinson In His Cadillac Dream,relaxed
Novembre,Verne,sad
Franz Ferdinand,Love and Destroy,happy
Vanessa Carlton,Rinse,sad
New Radicals,I Don't Wanna Die Anymore,sad
Hot Hot Heat,This Town,happy
Saliva,Back Into Your System,relaxed
Secondhand Serenade,End,sad
Robert Plant,In The Mood,relaxed
Johnossi,Man Must Dance,happy
Eric Clapton,Reptile,relaxed
Basement Jaxx,Cish Cash ,happy
Ace of Base,Don't Turn Around,happy
Nerf Herder,High School,happy
Tina Turner,Steamy Windows,happy
Sparks,Slowboat,sad
Idlewild,A Modern Way Of Letting Go,angry
Anita Baker,My Funny Valentine,relaxed
Dark Sanctuary,Des Illusions,sad
Eric Church,Lightning,sad
Enya,Less Than a Pearl,relaxed
Pink Floyd,Take Up Thy Stethoscope and Walk,angry
Tim Buckley,Dolphins,sad
The Faint,Paranoiattack,happy
Megadeth,Countdown to Extinction,angry
Tanya Donelly,Keeping You,relaxed
The Cure,The Figurehead,sad
Toni Basil,Mickey,happy
Foo Fighters,"Cheer Up, Boys (Your Make Up Is Running)",happy
Ice Cube,Ghetto Vet,angry
Slayer,Necrophiliac,angry
Secret Garden,Sleepsong,relaxed
Billy Talent,Prisoners of Today,angry
Sting,Brand New Day,happy
Slayer,Psychopathy Red,angry
Anita Baker,You Belong To Me,relaxed
Sam Sparro,Pocket,happy
Carla Bruni,Le Ciel Dans Une Chambre,relaxed
Fischerspooner,Tone Poem,relaxed
Bloodhound Gang,Foxtrot Uniform Charlie Kilo,happy
The Cure,One Hundred Years,sad
Faunts,Gone With The Day,relaxed
Kool & The Gang,Celebration,happy
White Zombie,Super-Charger Heaven,angry
Abba,Thank You For The Music,happy
Silbermond,Durch die Nacht,sad
The Cyrkle,The Visit (She Was Here),relaxed
Prince,Fury,angry
The Corrs,Baby Be Brave (album version),relaxed
Magnet,Overjoyed,relaxed
Marilyn Manson,A Place In The Dirt,sad
The Rocket Summer,Skies So Blue,happy
Pulp,The Fear,sad
Nicky Wire,Goodbye Suicide,sad
My Dying Bride,Gather Me Up Forever,sad
The Unicorns,Let's Get Known,happy
Coverdale/Page,Take Me For A Little While,sad
Caesars,It's Not The Fall That Hurts,happy
Newsboys,Something Beautiful,happy
Hard 'n Phirm,Pi,happy
Rage Against the Machine,Bulls on Parade,angry
My Dying Bride,A Doomed Lover,sad
Annie,Marie Cherie,sad
Rosenstolz,Sex im Hotel,happy
Cascada,What Do You Want From Me?,happy
Res,Let Love,relaxed
Marillion,The Invisible Man,sad
Afghan Whigs,66,happy
Susie Suh,Shell,relaxed
Dinosaur Jr.,Not the Same,sad
Shania Twain,I'm Gonna Getcha Good!,happy
Stevie Wonder,Part-Time Lover,happy
Eppu Normaali,Tahroja paperilla,sad
Metallica,Battery,angry
Juana Molina,Son,relaxed
Laura Marling,Your Only Doll (Dora),relaxed
Three Dog Night,Joy To The World,happy
JAY-Z,I Just Wanna Love U (Give It 2 Me),happy
Colder,To The Music,happy
Eagles of Death Metal,English Girl,happy
Kris Kross,Jump,happy
Mark Dinning,Teen Angel,sad
Starfucker,Girls Just Want To Have Fun,happy
"""Weird Al"" Yankovic",Christmas At Ground Zero,happy
Marius Müller-Westernhagen,Johnny W.,sad
The Acacia Strain,Demolishor,angry
Skinny Puppy,Assimilate,angry
Hope of the States,Me Ves Y Sufres,sad
Rammstein,Nebel,sad
The White Stripes,My Doorbell,happy
AC/DC,Down Payment Blues,angry
Goldfrapp,Utopia,relaxed
Dead Kennedys,Your Emotions,angry
Jim Brickman,Angel Eyes,relaxed
Sarah Blasko,For You,relaxed
Yelle,Je Veux Te Voir (Club-Club Version),happy
Adema,Rip The Heart Out Of Me,angry
The Romantics,When I Look In Your Eyes,happy
Murderdolls,Dead in Hollywood,angry
Devo,(I Can't Get No) Satisfaction,angry
Exploited,Exploited Barmy Army,angry
Midge Ure,Somebody,sad
Qntal,Remember Me,sad
Bob Dylan,Gotta Serve Somebody,relaxed
Clawfinger,Nothing Going On,angry
Blue Six,Sweeter Love,relaxed
Spiritualized,Let It Flow,relaxed
Alexisonfire,You Burn First,angry
Ice Cube,Dirty Mack,angry
Beastie Boys,Time for Livin',angry
"Loney, dear",Sinister in a State of Hope,relaxed
Kraak & Smaak,Squeeze Me,happy
Violent Femmes,Kiss Off,angry
Bernard Fanning,Shelter For My Soul,sad
Donald Fagen,Morph The Cat,relaxed
Black Flag,Depression,angry
Electric Light Orchestra,Sweet Talkin' Woman,happy
Vanity 6,Nasty Girl,happy
In Flames,Swim,happy
Tom Lehrer,I Wanna Go Back To Dixie,happy
Jack Johnson,Constellations,relaxed
Low,Bright,sad
Stephen Lynch,Baby,happy
Beatallica,Hey Dude,happy
Ministry,Palestina,angry
Marilyn Monroe,You'd Be Surprised,happy
New Model Army,"No Mirror, No Shadow",sad
The Cat Empire,Sly,happy
Monkey,The Living Sea,relaxed
Secret Garden,Sigma,relaxed
Luther Vandross,I'd Rather,relaxed
Madredeus,O Pomar Das Laranjeiras,sad
Rocco DeLuca & The Burden,Gift,sad
Pig Destroyer,Piss Angel,angry
Eric Burdon,Don't Let Me Be Misunderstood,angry
Martin Page,In The House Of Stone And Light,relaxed
LCD Soundsystem,On Repeat,happy
Fotos,Katharina,sad
Ephraim Lewis,Drowning In Your Eyes,relaxed
As I Lay Dying,Losing Sight,angry
Suzi Quatro,Devil Gate Drive,happy
Rammstein,Feuer und Wasser,sad
The Concretes,On The Radio,happy
Rage Against the Machine,Ashes In The Fall,angry
The Aquabats,Pool Party,happy
Barry White,"Honey Please, Can't Ya See",happy
Megadeth,Use the Man,angry
Mystery Jets,Half In Love With Elizabeth,happy
Hole,Gutless,angry
Atlantic Starr,Silver Shadow,relaxed
Rare Earth,I Just Want To Celebrate,happy
Jon & Vangelis,He Is Sailing,relaxed
Blonde Redhead,For the Damaged,angry
Anthrax,This Is Not an Exit,angry
Iron & Wine,Peace Beneath the City,relaxed
The Black Heart Procession,The Invitation,sad
Nas,Ether,angry
Rage Against the Machine,Sleep Now in the Fire,angry
Stacey Kent,The Ice Hotel,relaxed
Devo,That's Good,happy
Lenny Kravitz,Can We Find A Reason?,sad
Ghostface Killah,Mighty Healthy,angry
Radiohead,We Suck Young Blood,sad
Joe Nichols,Tequila Makes Her Clothes Fall Off,happy
Natalie Merchant,Thick As Thieves (2005 Version),sad
Beach House,House on the Hill,relaxed
Bloodhound Gang,You're Pretty When I'm Drunk,happy
Apocalyptica,Bittersweet,sad
Robin Williams,Friend Like Me,happy
Roxy Music,Just Another High,sad
XTC,Senses Working Overtime,angry
Cathedral,Ebony Tears,sad
J. Tillman,"Cecille, My Love",relaxed
Jagged Edge,Round And Round,relaxed
Jimmy Eat World,Dizzy,sad
Nightwish,Angels Fall First,sad
Propaganda,Wound In My Heart,relaxed
Suburban Kids With Biblical Names,Seems To Be on My Mind,happy
Celtic Woman,The Wexford Carol,relaxed
Beatallica,Everybody's Got A Ticket To Ride Except For Me And My Lightning,happy
Sade,Babyfather,relaxed
Harvey Danger,Flagpole Sitta,happy
The Avett Brothers,If It's The Beaches,sad
Julie Doiron,Penses-Donc (Tu Es Seule),sad
The Get Up Kids,The Company Dime,happy
Ice Cube,The Predator,angry
In Flames,Evil in a Closet,sad
Vanessa Carlton,More Than This,relaxed
Riverside,I Turned You Down,sad
Kathy Mattea,Where've You Been,sad
Enya,Water Shows the Hidden Heart,relaxed
Hem,Sailor,relaxed
The Doobie Brothers,It Keeps You Runnin',relaxed
Dope,Everything Sucks,angry
Marilyn Manson,Irresponsible Hate Anthem,angry
The Puppini Sisters,Soho Nights,happy
Sparta,Echodyne Harmonic,relaxed
The Champs,Tequila,happy
Motorhead,Ace of Spades,angry
Cowboy Junkies,Lay It Down,relaxed
Black Buddafly,Bad Girl ,happy
Level 42,Something About You,happy
Kinks,You Really Got Me,angry
Britney Spears,Oops!...I Did It Again,happy
The Cure,The Promise,angry
Diary of Dreams,Tears of Laughter,sad
Kate Havnevik,Not Fair,relaxed
Gwen Stefani,Hollaback Girl,happy
Manic Street Preachers,The Everlasting,sad
Peaches,Downtown,happy
The Polyphonic Spree,Middle of the Day,sad
London After Midnight,Sacrifice,sad
Stevie Wonder,A Place In The Sun,relaxed
The Cat Empire,The Wine Song,happy
Donavon Frankenreiter,Butterfly,relaxed
Tom Petty And The Heartbreakers,The Dark Of the Sun,relaxed
Ozzy Osbourne,War Pigs,angry
Beach House,Childhood,relaxed
Switchfoot,The Shadow Proves The Sunshine,relaxed
Ben Folds Five,Cigarette,sad
The Sex Pistols,I Wanna Be Me,angry
Chubby Checker,The Twist,happy
Incognito,Everybody Loves The Sunshine,relaxed
Peaches,Shake Yer Dix,happy
Stars,What the Snowman Learned About Love,relaxed
The Anti-Nowhere League,So What,angry
Peaches,Suck and Let Go,happy
Velvet Revolver,Illegal i Song,angry
Jibbs,Chain Hang Low,happy
Britney Spears,I Run Away,sad
Grand Archives,Swan Matches,relaxed
Björk,Pluto,angry
Brain Drill,Revelation,angry
Anthony Hamilton,I Tried,relaxed
Grace Jones,Pull Up To The Bumper,happy
Gwen Stefani,Wind It Up,happy
Tyler Hilton,Insomnia (Revised Album Version),relaxed
Reel Big Fish,Ban The Tube Top,happy
Teitur,Rough Around The Edges,relaxed
Gorillaz,Demon Days,relaxed
Enya,China Roses,relaxed
Pantera,Cemetery Gates,angry
Riverside,Loose Heart,sad
Jazzanova,Look What You're Doin' To Me ,relaxed
Supergrass,Brecon Beacons,happy
Opeth,Bleak,sad
Opeth,White Cluster,sad
Manic Street Preachers,Of Walking Abortion,angry
Shop Boyz,Flexin',happy
Guns N' Roses,Sweet Child O' Mine,happy
Black Flag,Gimmie Gimmie Gimmie,angry
Timo Maas,Pictures,happy
Nine Inch Nails,Zero-Sum,sad
Astrud Gilberto,The Girl From Ipanema,relaxed
Franz Ferdinand,What You Waiting For?,happy
Ke$ha,Kiss N Tell,happy
Fishbone,Lyin' Ass Bitch,happy
Touch and Go,Would You...?,happy
Britney Spears,Anticipating,happy
Rage Against the Machine,Killing In The Name,angry
Cult of Luna,Waiting For You,sad
Tyrone Wells,Sea Breeze,relaxed
Megadeth,Captive Honour,angry
Thievery Corporation,Heaven's Gonna Burn Your Eyes,relaxed
The-Dream,Right Side Of My Brain,sad
Tindersticks,Walking,sad
The Dillinger Escape Plan,Milk Lizard,angry
Howlin' Wolf,Smokestack Lightning,angry
Vanessa Hudgens,Sneakernight,happy
The Rolling Stones,Tie You Up (The Pain of Love),angry
Tim Buckley,The Earth is Broken,sad
The Hoosiers,Cops and Robbers,happy
Jane Monheit,Detour Ahead,relaxed
Erykah Badu,Window Seat,relaxed
Mobb Deep,Survival of the Fittest,angry
Röyksopp,Dead to the World,relaxed
Limp Bizkit,Getcha Groove On,angry
Ashley Tisdale,He Said She Said,happy
Dolly Parton,9 To 5,happy
Ministry,Just One Fix,angry
Shirley Horn,A Time For Love,relaxed
Rihanna,Breakin' Dishes,angry
Toy-Box,The Sailor Song,happy
Enya,Wild Child,relaxed
Megadeth,Blood of Heroes,angry
Eminem,Mosh,angry
Kate Nash,Pumpkin Soup,happy
Nine Inch Nails,My Violent Heart,angry
Spahn Ranch,The Conversation,sad
Common,Faithful,relaxed
D'Angelo,Jonz In My Bonz,relaxed
The Coral,She's Got A Reason,relaxed
Pete Philly & Perquisite,Mystery Repeats,happy
Andrew Bird,Masterfade,relaxed
Lamb of God,Redneck,angry
The Haunted,99,angry
Burzum,Dunkelheit,sad
A Silver Mt. Zion,Microphones in the Trees,sad
Gossip,Eyes Open,angry
Emigrate,In My Tears,sad
Dead Boys,Sonic Reducer,angry
Anthony David,Something About You,relaxed
Lisa Loeb,Wishing Heart,happy
Elliott Smith,Bottle Up And Explode!,relaxed
Neurosis,The Tide,sad
Fatboy Slim,Wonderful Night,happy
Justin Timberlake,Like I Love You,happy
Amel Larrieux,Weather,relaxed
Black Kids,Listen To Your Body Tonight,happy
Love Is All,Make Out Fall Out Make Up,sad
The Byrds,Hickory Wind,sad
Megadeth,Elysian Fields,angry
Slayer,Praise of Death,angry
Snow Patrol,Crazy In Love,happy
R. Kelly & Public Announcement,She's Got That Vibe,happy
The Beatles,Run for Your Life,angry
Cat Stevens,Lilywhite,relaxed
Anthrax,Bring the Noise,angry
Britney Spears,Ooh Ooh Baby,happy
Slayer,Piece by Piece,angry
Village People,In the Navy,happy
Deep Dish,Flashdance,happy
Britney Spears,Brave New Girl,happy
Janis Joplin,Summertime,sad
Blue Man Group,Time to Start,happy
Amon Amarth,Ride For Vengeance,angry
Tindersticks,Piano Song,sad
Marilyn Manson,Great Big White World,sad
Arcade Fire,Black Mirror,sad
The Prodigy,Voodoo People,angry
Frida,Baby Don't You Cry No More,relaxed
Kate Nash,Mariella,happy
Fleet Foxes,Blue Ridge Mountains,relaxed
The Honeydrips,(Lack of) Love Will Tear Us Apart,relaxed
Kristin Hersh,Gazebo Tree,sad
Jill Tracy,Haunted By the Thought of You,sad
S Club 7,Bring It All Back,happy
Kanye West,Coldest Winter,sad
The Chemical Brothers,Left Right,angry
Antimatter,Ghosts,sad
Dixie Chicks,Voice Inside My Head,sad
Metallica,"Broken, Beat & Scarred",angry
Carbon Based Lifeforms,PhotoSynthesis,relaxed
XTC,This Is Pop?,angry
PJ Harvey,The Darker Days Of Me & Him,sad
Keren Ann,In Your Back,relaxed
Nine Days,Bitter,sad
Art Brut,Modern Art,happy
Laura Marling,Shine,sad
Smokie,Living Next Door To Alice ,relaxed
Mastodon,Blood and Thunder,angry
Rasputina,Watch T.V.,sad
Eminem,My Name Is,happy
Hanne Hukkelberg,Cast Anchor,relaxed
Dolly Parton,Here You Come Again,happy
Pinback,Some Voices,relaxed
2Pac,Me Against the World,angry
Chris Botti,The Look Of Love,relaxed
